time,code_num,price
11:12,282330,178000
11:12,138930,8580
11:12,001040,98400
11:12,079160,30150
11:12,000120,149000
11:12,097950,394000
11:12,005830,64700
11:12,000990,50800
11:12,000210,69700
11:12,375500,134500
11:12,007700,33350
11:12,114090,16300
11:12,078930,44100
11:12,006360,41050
11:12,007070,32650
11:12,294870,26200
11:12,011200,29700
11:12,105560,55000
11:12,002380,383000
11:12,016380,12900
11:12,030200,31300
11:12,033780,80900
11:12,003550,92500
11:12,034220,17900
11:12,051900,1382000
11:12,032640,14400
11:12,011070,199000
11:12,066570,122500
11:12,051910,768000
11:12,079550,48700
11:12,006260,63200
11:12,010120,63700
11:12,001120,29850
11:12,108670,75300
11:12,383800,8850
11:12,035420,390500
11:12,005940,12600
11:12,010060,135500
11:12,005490,324500
11:12,010950,106000
11:12,034730,258000
11:12,011790,158500
11:12,001740,5060
11:12,006120,46650
11:12,302440,229500
11:12,326030,99100
11:12,361610,201000
11:12,096770,253000
11:12,285130,307000
11:12,017670,306000
11:12,000660,93900
11:12,064960,51100
11:12,035250,28450
11:12,010130,534000
11:12,011780,179500
11:12,073240,5550
11:12,000270,81900
11:12,024110,10550
11:12,002350,7600
11:12,251270,121500
11:12,006280,267000
11:12,005250,29000
11:12,004370,289500
11:12,001680,23500
11:12,047040,6540
11:12,042660,24200
11:12,003090,31850
11:12,069620,135000
11:12,006650,206500
11:12,001440,2235
11:12,003490,31100
11:12,192080,62400
11:12,001230,17500
11:12,026960,29700
11:12,049770,209500
11:12,006040,230000
11:12,014820,61000
11:12,000150,88700
11:12,241560,39250
11:12,034020,19250
11:12,336260,48450
11:12,032350,21000
11:12,023530,102500
11:12,004000,86900
11:12,004990,32550
11:12,005300,149500
11:12,011170,239500
11:12,071840,28550
11:12,204320,57500
11:12,008560,4780
11:12,006800,8430
11:12,003850,14600
11:12,003000,13150
11:12,006400,687000
11:12,028260,121500
11:12,207940,823000
11:12,032830,71600
11:12,018260,160000
11:12,028050,24450
11:12,009150,166500
11:12,005930,72100
11:12,010140,6110
11:12,016360,46200
11:12,029780,34500
11:12,000810,239000
11:12,003230,83100
11:12,000070,108500
11:12,004490,82300
11:12,068270,224000
11:12,004170,256500
11:12,031430,180000
11:12,019170,61600
11:12,055550,39200
11:12,003410,7660
11:12,112610,68400
11:12,002790,49800
11:12,090430,180000
11:12,020560,23600
11:12,010780,47250
11:12,012750,83800
11:12,036570,571000
11:12,111770,45800
11:12,003520,4690
11:12,000670,664000
11:12,007310,490000
11:12,271560,117500
11:12,001800,16200
11:12,316140,11550
11:12,000100,59800
11:12,214320,59500
11:12,139480,157500
11:12,007570,30600
11:12,020150,104500
11:12,030000,22400
11:12,185750,118500
11:12,013890,70900
11:12,035720,118500
11:12,323410,57300
11:12,192820,132500
11:12,120110,90800
11:12,021240,73800
11:12,192400,21900
11:12,284740,42300
11:12,259960,469000
11:12,039490,104500
11:12,003240,1095000
11:12,028670,6820
11:12,047050,22400
11:12,003670,155500
11:12,103140,32250
11:12,086790,44750
11:12,352820,284500
11:12,000080,34600
11:12,036460,47700
11:12,071050,84200
11:12,000240,16350
11:12,015760,22900
11:12,009540,94500
11:12,161890,47050
11:12,161390,43200
11:12,047810,31600
11:12,008930,58000
11:12,128940,261500
11:12,009240,105000
11:12,020000,39550
11:12,105630,24900
11:12,014680,331500
11:12,018880,15100
11:12,009420,20100
11:12,051600,39400
11:12,052690,46550
11:12,180640,57300
11:12,000880,35000
11:12,088350,3475
11:12,009830,42300
11:12,272210,16550
11:12,012450,48800
11:12,000720,50400
11:12,005440,9460
11:12,086280,172500
11:12,042670,9270
11:12,064350,23050
11:12,012330,268500
11:12,010620,64400
11:12,069960,82200
11:12,017800,46950
11:12,011210,85900
11:12,004020,46150
11:12,267250,62500
11:12,005380,205000
11:12,001450,27350
11:12,057050,71100
11:12,008770,90700
11:12,241590,16200
11:12,004800,109500
11:12,298050,713000
11:12,298020,614000
11:12,093370,20650
11:12,081660,40150
11:12,069260,27000
11:17,282330,177000
11:17,138930,8560
11:17,001040,98300
11:17,079160,30050
11:17,000120,148000
11:17,097950,394500
11:17,005830,64700
11:17,000990,50900
11:17,000210,69700
11:17,375500,134500
11:17,007700,33350
11:17,114090,16250
11:17,078930,44050
11:17,006360,40950
11:17,007070,32600
11:17,294870,26100
11:17,011200,29700
11:17,105560,54900
11:17,002380,384000
11:17,016380,12850
11:17,030200,31400
11:17,033780,80900
11:17,003550,92600
11:17,034220,17900
11:17,051900,1381000
11:17,032640,14400
11:17,011070,198000
